0,1,2,3,4,5
44,86,23,93,91,07
77,86,11,43,14,87
39,38,44,60,**,36
79,59,28,73,75,52
19,51,**,94,83,67
67,76,60,20,19,97
57,40,25,31,08,61
69,25,01,30,73,80
36,18,14,09,96,24
27,29,86,30,30,06
29,33,50,38,09,98
52,52,78,51,21,54
24,82,85,52,44,54
82,67,00,68,95,**
54,69,97,12,97,82
56,22,54,65,34,53
16,29,00,17,07,22
47,18,60,61,02,64
47,44,64,82,28,04
71,76,35,87,82,66
60,74,27,10,51,85
04,58,61,51,39,32
67,43,19,80,57,58
91,39,44,40,33,16
40,83,47,79,26,11
90,77,84,33,00,73
17,39,59,11,66,44
19,50,19,94,33,78
04,57,03,07,40,42
40,57,51,72,16,07
60,44,98,98,96,10
19,22,22,62,82,38
53,36,95,18,69,**
**,60,74,44,43,09
25,67,65,97,00,94
26,32,**,88,**,81
26,69,16,62,41,91
81,87,21,88,28,65
81,46,62,35,78,59
97,51,24,42,80,78
39,85,69,**,69,04
72,78,81,60,62,65
20,36,01,74,88,73
98,77,37,30,39,37
**,01,66,59,03,27
08,27,41,81,40,76
85,75,99,57,17,44
50,13,35,69,19,61
31,78,12,17,71,21
70,82,50,87,64,03
88,79,44,11,81,64
31,80,54,57,69,33
36,17,93,82,95,33
07,79,59,41,53,**
39,09,01,09,89,97
36,91,96,**,25,13
94,89,49,14,20,09
66,72,20,52,06,42
15,49,82,47,76,43
74,66,83,32,84,30
67,42,90,84,26,62
96,37,85,**,72,83
02,44,05,95,70,87
87,01,17,72,49,29
81,04,34,78,27,61
54,03,57,97,18,41
81,80,96,04,42,07
06,87,84,33,12,24
83,63,66,84,31,81
63,00,31,04,70,88
53,21,66,78,66,56
21,18,50,20,23,67
17,98,36,77,47,93
00,97,56,15,05,56
53,10,53,29,21,86
94,42,52,65,98,40
80,33,59,38,91,48
46,72,29,83,05,71
71,79,15,75,66,91
33,48,26,95,02,75
70,61,66,89,02,82
17,46,98,56,48,23
82,65,31,**,43,42
11,60,56,95,63,82
67,55,**,26,50,29
**,**,14,01,09,43
38,80,35,36,71,75
48,35,07,03,11,55
97,09,92,28,97,39
07,06,83,12,63,18
60,62,37,01,71,**
32,99,88,55,72,06
57,62,65,53,59,20
56,55,85,97,59,73
42,86,**,11,47,**
51,80,90,41,37,72
80,78,23,88,25,23
**,**,**,**,**,**
**,**,**,40,49,60
49,04,12,56,19,31
45,43,45,23,59,25
37,16,90,53,11,40
91,33,29,89,67,74
85,42,61,15,99,94
51,29,50,18,84,17
99,96,33,96,67,26
**,17,88,99,28,96
86,16,63,94,53,**
32,66,70,46,68,45
19,23,35,31,09,83
79,22,79,39,53,77
67,99,35,14,03,52
53,20,41,58,50,11
38,22,68,26,22,23
36,51,92,48,54,82
16,41,41,45,10,70
03,15,**,79,63,43
90,40,77,52,22,26
96,22,49,24,21,50
21,81,87,50,63,56
9*,45,45,57,92,39
00,45,81,89,62,97
22,00,98,84,06,49
15,17,68,05,09,31
87,95,21,65,52,88
06,51,00,84,32,51
69,47,83,90,16,02
19,98,83,49,47,69
60,57,42,91,73,21
19,47,85,75,33,17
83,61,55,97,43,66
83,14,54,62,12,19
03,79,70,45,69,07
83,37,39,22,83,35
61,51,82,78,47,70
64,08,21,30,**,78
68,64,76,**,71,92
05,68,55,60,08,97
46,53,34,97,60,91
75,70,28,42,45,52
**,01,07,81,20,48
31,77,55,27,77,24
54,95,30,73,30,59
57,59,41,68,94,37
22,03,33,06,80,71
29,93,97,33,86,82
51,03,52,68,26,03
94,64,86,40,**,**
**,**,**,**,**,**
61,21,25,54,45,54
20,21,27,71,94,97
76,05,93,01,51,89
45,31,60,28,70,76
28,52,20,41,29,48
32,67,41,16,65,79
80,83,51,54,98,58
83,08,48,68,86,52
39,01,83,32,87,42
82,**,73,18,78,05
89,80,20,49,63,74
87,30,32,02,16,02
24,29,86,15,43,40
09,84,78,28,90,22
68,59,02,53,18,34
81,95,55,51,65,69
59,62,12,70,51,31
69,98,87,66,24,64
**,83,76,31,44,46
**,**,**,37,21,34
44,27,26,21,28,81
09,00,64,28,02,66
